价格区间,车型,报价(单位：万)
70-100万,捷豹F-PACE,"('47.58', '78.78')"
70-100万,宝马M4,"('86.99', '128.89')"
70-100万,Ghibli,"('72.58', '97.88')"
70-100万,奥迪S5,"('61.98', '70.88')"
70-100万,公羊加版,"('43.80', '72.00')"
70-100万,Giulia,"('37.98', '125.98')"
70-100万,迈特威,"('42.80', '101.00')"
70-100万,Stelvio,"('45.68', '127.98')"
70-100万,途乐中东版,"('53.00', '86.80')"
70-100万,宝马M3,"('85.89', '108.89')"
70-100万,福特F-150,"('52.38', '118.00')"
70-100万,奔驰C级AMG,"('59.98', '116.08')"
70-100万,MODEL X,"('77.29', '100.00')"
70-100万,Levante,"('96.18', '122.98')"
70-100万,捷豹F-TYPE,"('58.20', '91.80')"
70-100万,Taycan,"('88.80', '179.80')"
70-100万,宝马X5加版,"('75.00', '98.00')"
70-100万,威尔法,"('80.50', '87.30')"
70-100万,奔驰GLC AMG,"('65.88', '128.88')"
70-100万,Model S,"('73.39', '117.49')"
70-100万,奥迪RS 5,"('83.68', '86.98')"
70-100万,沃尔沃S90新能源,"('49.99', '104.39')"
70-100万,红旗E-HS9,"('50.98', '72.98')"
70-100万,讴歌MDX,"('69.80', '84.80')"
70-100万,奔驰GLE AMG,"('98.88', '102.88')"
70-100万,宝马X5中东版,"('75.00', '85.80')"
70-100万,北京BJ90,"('69.80', '128.80')"
70-100万,奥迪RS 4,"('81.28', '82.28')"
70-100万,卡宴美版,"('90.00', '108.00')"
70-100万,沃尔沃XC90新能源,"('89.19', '128.58')"
70-100万,奥迪S6,"('92.98', '92.98')"
70-100万,超霸加版,"('55.60', '84.80')"
70-100万,奔驰E级AMG,"('89.58', '156.08')"
70-100万,挑战者美版,"('43.80', '185.00')"
70-100万,卡宴加版,"('96.80', '145.00')"
70-100万,奥迪e-tron(进,"('69.28', '82.86')"
70-100万,宝马X5墨版,"('69.50', '82.00')"
70-100万,Cayenne新能源,"('86.80', '101.20')"
70-100万,发现5加版,"('84.80', '92.80')"
70-100万,奔驰V级墨版,"('49.80', '79.80')"
70-100万,奔驰GLE美版,"('68.50', '119.80')"
70-100万,宝马X5新能源,"('84.99', '85.99')"
70-100万,奥迪Q7欧版,"('56.80', '75.00')"
70-100万,奥迪TT RS,"('76.98', '76.98')"
70-100万,奥迪Q7加版,"('69.00', '83.50')"
70-100万,宝马X4 M,"('86.99', '92.99')"
70-100万,公羊美版,"('45.80', '76.80')"
70-100万,酷路泽70系列中东版,"('59.80', '98.80')"
70-100万,奥迪Q8加版,"('75.00', '79.00')"
70-100万,奔驰GLE加版,"('72.00', '103.00')"
70-100万,领航员美版,"('98.00', '253.00')"
70-100万,雷克萨斯GX中东版,"('86.00', '117.00')"
70-100万,宝马X3 M,"('83.99', '89.99')"
70-100万,发现5欧版,"('60.00', '92.80')"
70-100万,捷豹I-PACE,"('63.08', '71.68')"
70-100万,斯宾特美版,"('86.00', '188.00')"
70-100万,宝马X7美版,"('94.00', '175.00')"
70-100万,奔驰GLE墨版,"('69.80', '98.80')"
70-100万,揽胜运动版新能源,"('86.48', '86.48')"
70-100万,卡宴墨版,"('100.00', '139.00')"
70-100万,揽胜运动欧版,"('78.00', '109.80')"
70-100万,奥迪Q7新能源,"('79.08', '79.08')"
70-100万,凯路威美版,"('78.80', '92.80')"
70-100万,宝马X5美版,"('81.00', '86.00')"
70-100万,卫士欧版,"('89.90', '130.00')"
70-100万,飞行家新能源,"('81.88', '81.88')"
70-100万,奥迪Q8欧版,"('100.00', '150.00')"
70-100万,揽胜运动加版,"('79.00', '106.80')"
70-100万,Levante美版,"('79.80', '120.00')"
70-100万,威霆中东版,"('75.00', '95.00')"
70-100万,奔驰GLE中东版,"('82.80', '88.00')"
70-100万,奥迪Q8美版,"('100.00', '110.00')"
70-100万,宝马X5欧版,"('62.50', '75.50')"
70-100万,沃尔沃XC90美版,"('79.80', '79.80')"
70-100万,勇猛者,"('77.80', '118.00')"
70-100万,林肯MKT美版,"('88.00', '88.00')"
70-100万,征服者墨版,"('95.00', '99.00')"
70-100万,奔驰V级欧版,"('98.80', '138.00')"
70-100万,高合HiPhi X,"('68.00', '80.00')"
70-100万,征服者加版,"('95.00', '95.00')"
70-100万,Sierra,"('62.80', '76.80')"
70-100万,Evora,"('97.20', '97.20')"
70-100万,Supra加版,"('99.00', '99.00')"
70-100万,沃尔沃XC90加版,"('73.80', '79.80')"
70-100万,威霆美版,"('75.00', '75.00')"
70-100万,发现4欧版,"('85.00', '85.00')"
70-100万,沃尔沃XC90墨版,"('72.80', '72.80')"
70-100万,宇通T7,"('38.80', '78.80')"
70-100万,铂驰大众T6系列,"('78.80', '78.80')"
70-100万,牧马人美版,暂无报价
70-100万,宇通凯伦宾威进口依维,"('89.80', '138.00')"
70-100万,Levante中东版,"('79.80', '125.00')"
70-100万,宝马X6加版,"('96.80', '98.50')"
70-100万,揽胜星脉加版,"('72.00', '75.00')"
70-100万,考斯特中东版,"('78.00', '130.00')"
70-100万,新凯威霆,"('90.80', '180.00')"
70-100万,威霆,暂无报价
70-100万,SIERRA加版,"('75.00', '85.00')"
70-100万,中欧斯宾特,暂无报价
70-100万,铂驰奔驰Sprint,"('78.80', '128.80')"
70-100万,铂驰奔驰V系列,"('89.80', '138.80')"
70-100万,飞驰威霆,"('68.00', '108.00')"
70-100万,中欧星锐,"('89.80', '89.80')"
70-100万,金旅大海狮新能源,"('75.00', '75.00')"
70-100万,铂驰依维柯房车系列,"('52.80', '79.80')"
70-100万,宝马X6墨版,"('86.80', '88.00')"
70-100万,铂驰维努斯系列V26,"('95.80', '118.80')"
70-100万,中欧维达莱斯,"('98.80', '98.80')"
70-100万,上喆V-Class,"('90.80', '102.80')"
70-100万,海格H6V,"('70.80', '70.80')"
100-150万,奔驰GLE,"('69.98', '135.38')"
100-150万,宝马7系,"('82.80', '242.80')"
100-150万,奥迪A8,"('84.28', '194.28')"
100-150万,奔驰S级,"('85.28', '181.88')"
100-150万,宝马X7,"('100.00', '178.80')"
100-150万,保时捷911,"('126.50', '247.30')"
100-150万,Panamera,"('97.30', '245.80')"
100-150万,揽胜,"('122.50', '321.30')"
100-150万,奔驰GLS,"('102.80', '129.90')"
100-150万,奥迪Q8,"('76.88', '104.88')"
100-150万,Cayenne,"('91.30', '190.80')"
100-150万,揽胜运动版,"('90.48', '189.80')"
100-150万,兰德酷路泽中东版,"('69.80', '142.00')"
100-150万,雷克萨斯LS,"('87.80', '118.00')"
100-150万,奔驰G级,"('142.98', '189.88')"
100-150万,领航员,"('109.80', '129.80')"
100-150万,迈巴赫S级,"('139.88', '319.88')"
100-150万,宝马M5,"('143.89', '146.89')"
100-150万,宝马8系,"('96.80', '126.80')"
100-150万,总裁,"('140.58', '194.08')"
100-150万,奥迪RS 7,"('144.88', '172.23')"
100-150万,AMG GT,"('98.48', '229.88')"
100-150万,宝马M4,"('86.99', '128.89')"
100-150万,雷克萨斯LX,"('129.10', '141.70')"
100-150万,Giulia,"('37.98', '125.98')"
100-150万,迈特威,"('42.80', '101.00')"
100-150万,Stelvio,"('45.68', '127.98')"
100-150万,宝马M3,"('85.89', '108.89')"
100-150万,福特F-150,"('52.38', '118.00')"
100-150万,奔驰C级AMG,"('59.98', '116.08')"
100-150万,Levante,"('96.18', '122.98')"
100-150万,Taycan,"('88.80', '179.80')"
100-150万,奔驰GLC AMG,"('65.88', '128.88')"
100-150万,Model S,"('73.39', '117.49')"
100-150万,沃尔沃S90新能源,"('49.99', '104.39')"
100-150万,奔驰GLE AMG,"('98.88', '102.88')"
100-150万,Panamera新能,"('116.80', '248.30')"
100-150万,北京BJ90,"('69.80', '128.80')"
100-150万,卡宴美版,"('90.00', '108.00')"
100-150万,沃尔沃XC90新能源,"('89.19', '128.58')"
100-150万,奔驰GLS美版,"('103.00', '124.80')"
100-150万,奔驰E级AMG,"('89.58', '156.08')"
100-150万,挑战者美版,"('43.80', '185.00')"
100-150万,奥迪S7,"('100.98', '100.98')"
100-150万,卡宴加版,"('96.80', '145.00')"
100-150万,奥迪RS 6,"('135.78', '177.39')"
100-150万,雷克萨斯LX中东版,"('148.00', '180.00')"
100-150万,雷克萨斯LC,"('115.50', '126.50')"
100-150万,Cayenne新能源,"('86.80', '101.20')"
100-150万,宝马X5 M,"('143.89', '143.89')"
100-150万,奔驰GLE美版,"('68.50', '119.80')"
100-150万,雷克萨斯LM,"('116.60', '146.60')"
100-150万,奔驰G级欧版,"('148.00', '388.00')"
100-150万,奔驰GLS加版,"('123.80', '220.00')"
100-150万,凯雷德ESCALAD,"('148.80', '148.80')"
100-150万,奔驰GLE加版,"('72.00', '103.00')"
100-150万,领航员美版,"('98.00', '253.00')"
100-150万,宝马X6 M,"('146.89', '146.89')"
100-150万,宝马X7加版,"('105.00', '143.00')"
100-150万,雷克萨斯GX中东版,"('86.00', '117.00')"
100-150万,斯宾特美版,"('86.00', '188.00')"
100-150万,总裁美版,"('119.00', '189.00')"
100-150万,宝马X7美版,"('94.00', '175.00')"
100-150万,埃尔法欧版,"('125.00', '130.00')"
100-150万,Suburban萨博,"('142.00', '142.00')"
100-150万,揽胜行政欧版,"('128.00', '215.00')"
100-150万,IMSA英飒-迈巴赫,"('145.88', '156.88')"
100-150万,奔驰S级美版,"('132.00', '199.00')"
100-150万,领航员加版,"('123.00', '203.00')"
100-150万,英菲尼迪QX80中东,"('106.00', '115.00')"
100-150万,卡宴墨版,"('100.00', '139.00')"
100-150万,Panamera加版,"('135.00', '175.00')"
100-150万,揽胜运动欧版,"('78.00', '109.80')"
100-150万,揽胜行政中东版,"('125.00', '159.00')"
100-150万,宝马7系新能源,"('106.80', '115.80')"
100-150万,雷克萨斯LX加版,"('139.00', '200.00')"
100-150万,雷克萨斯LM欧版,"('146.00', '235.00')"
100-150万,卫士欧版,"('89.90', '130.00')"
100-150万,揽胜新能源,"('132.30', '132.30')"
100-150万,奥迪Q8欧版,"('100.00', '150.00')"
100-150万,Ghibli美版,"('126.00', '129.00')"
100-150万,揽胜运动加版,"('79.00', '106.80')"
100-150万,科尔维特美版,"('150.00', '150.00')"
100-150万,Levante美版,"('79.80', '120.00')"
100-150万,X-BOW,"('139.80', '139.80')"
100-150万,揽胜行政美版,"('138.00', '148.00')"
100-150万,奥迪Q8美版,"('100.00', '110.00')"
100-150万,科尔维特加版,"('150.00', '150.00')"
100-150万,奔驰GLS欧版,"('115.00', '115.00')"
100-150万,勇猛者,"('77.80', '118.00')"
100-150万,奔驰GL中东版,"('130.00', '190.00')"
100-150万,揽胜行政加版,"('136.80', '368.00')"
100-150万,奔驰V级欧版,"('98.80', '138.00')"
100-150万,斯宾特,"('142.00', '192.80')"
100-150万,福特F450美版,"('120.00', '120.00')"
100-150万,奔驰GL加版,"('121.70', '159.00')"
100-150万,宇通凯伦宾威进口依维,"('89.80', '138.00')"
100-150万,Polestar 1,"('145.00', '145.00')"
100-150万,Levante中东版,"('79.80', '125.00')"
100-150万,迈莎锐MS580,"('141.80', '148.80')"
100-150万,Savana美版,"('123.00', '153.00')"
100-150万,总裁中东版,"('108.00', '128.00')"
100-150万,考斯特中东版,"('78.00', '130.00')"
100-150万,新凯威霆,"('90.80', '180.00')"
100-150万,领航员墨版,"('148.00', '148.00')"
100-150万,YUKON加版,"('146.00', '149.00')"
100-150万,中欧斯宾特,暂无报价
100-150万,IMSA英飒-奔驰S,"('130.18', '130.18')"
100-150万,铂驰奔驰Sprint,"('78.80', '128.80')"
100-150万,铂驰奔驰V系列,"('89.80', '138.80')"
100-150万,飞驰威霆,"('68.00', '108.00')"
100-150万,YUKON墨版,"('120.00', '120.00')"
100-150万,总裁加版,"('116.80', '140.00')"
100-150万,铂驰维努斯系列V26,"('95.80', '118.80')"
150-300万,宝马7系,"('82.80', '242.80')"
150-300万,奥迪A8,"('84.28', '194.28')"
150-300万,奔驰S级,"('85.28', '181.88')"
150-300万,宝马X7,"('100.00', '178.80')"
150-300万,保时捷911,"('126.50', '247.30')"
150-300万,Panamera,"('97.30', '245.80')"
150-300万,揽胜,"('122.50', '321.30')"
150-300万,Cayenne,"('91.30', '190.80')"
150-300万,揽胜运动版,"('90.48', '189.80')"
150-300万,宝马M8,"('196.80', '256.80')"
150-300万,奔驰G级,"('142.98', '189.88')"
150-300万,迈巴赫S级,"('139.88', '319.88')"
150-300万,总裁,"('140.58', '194.08')"
150-300万,奥迪R8,"('195.28', '275.34')"
150-300万,奥迪RS 7,"('144.88', '172.23')"
150-300万,AMG GT,"('98.48', '229.88')"
150-300万,飞驰,"('251.80', '390.00')"
150-300万,欧陆,"('275.10', '420.00')"
150-300万,阿斯顿·马丁DB11,"('220.80', '298.80')"
150-300万,添越,"('246.20', '246.20')"
150-300万,法拉利F8,"('298.80', '341.80')"
150-300万,阿斯顿·马丁DBX,"('212.80', '319.80')"
150-300万,Taycan,"('88.80', '179.80')"
150-300万,Huracan,"('254.00', '390.00')"
150-300万,凯迪拉克总统一号,"('168.00', '358.00')"
150-300万,奔驰S级AMG,"('227.88', '307.88')"
150-300万,V8 Vantage,"('181.80', '259.80')"
150-300万,奔驰G级AMG,"('222.88', '245.88')"
150-300万,Panamera新能,"('116.80', '248.30')"
150-300万,奔驰E级AMG,"('89.58', '156.08')"
150-300万,挑战者美版,"('43.80', '185.00')"
150-300万,奥迪RS 6,"('135.78', '177.39')"
150-300万,雷克萨斯LX中东版,"('148.00', '180.00')"
150-300万,Urus,"('291.20', '294.11')"
150-300万,奔驰G级欧版,"('148.00', '388.00')"
150-300万,奔驰GLS加版,"('123.80', '220.00')"
150-300万,欧陆欧版,"('285.00', '530.00')"
150-300万,领航员美版,"('98.00', '253.00')"
150-300万,迈凯伦570,"('243.60', '270.80')"
150-300万,Roma,"('238.00', '238.00')"
150-300万,迈凯伦GT,"('198.80', '198.80')"
150-300万,Portofino,"('263.80', '263.80')"
150-300万,斯宾特美版,"('86.00', '188.00')"
150-300万,总裁美版,"('119.00', '189.00')"
150-300万,奔驰GLS AMG,"('179.98', '179.98')"
150-300万,奔驰G级美版,"('208.00', '378.00')"
150-300万,宝马X7美版,"('94.00', '175.00')"
150-300万,揽胜行政欧版,"('128.00', '215.00')"
150-300万,迈凯伦540C,"('220.00', '220.00')"
150-300万,IMSA英飒-迈巴赫,"('145.88', '156.88')"
150-300万,奔驰S级美版,"('132.00', '199.00')"
150-300万,领航员加版,"('123.00', '203.00')"
150-300万,林肯领袖一号,"('189.00', '189.00')"
150-300万,奔驰S级加版,"('168.00', '278.00')"
150-300万,迈凯伦600LT,"('292.30', '319.50')"
150-300万,路虎皇家一号,"('248.00', '328.00')"
150-300万,玛莎拉蒂MC20,"('210.00', '210.00')"
150-300万,Panamera加版,"('135.00', '175.00')"
150-300万,YUKON,"('155.00', '238.00')"
150-300万,迈巴赫S级美版,"('288.00', '400.00')"
150-300万,Panamera美版,"('165.00', '188.00')"
150-300万,揽胜行政中东版,"('125.00', '159.00')"
150-300万,凯雷德美版,"('188.00', '188.00')"
150-300万,雷克萨斯LX加版,"('139.00', '200.00')"
150-300万,雷克萨斯LM欧版,"('146.00', '235.00')"
150-300万,添越PHEV,"('219.70', '238.50')"
150-300万,凯雷德加版,"('168.00', '188.00')"
150-300万,GranTurism,"('219.80', '288.80')"
150-300万,讴歌NSX,"('289.00', '289.00')"
150-300万,GT-R加版,"('158.00', '168.00')"
150-300万,乌尼莫克,"('298.00', '298.00')"
150-300万,奔驰G级中东版,"('172.00', '345.00')"
150-300万,奔驰G级加版,"('225.00', '268.00')"
150-300万,福特E450美版,"('168.00', '168.00')"
150-300万,迈巴赫S级加版,"('298.00', '398.00')"
150-300万,飞驰美版,"('298.00', '298.00')"
150-300万,Lorinser M,"('218.80', '238.80')"
150-300万,迈凯伦p1欧规版,"('299.00', '299.00')"
150-300万,奔驰GL中东版,"('130.00', '190.00')"
150-300万,揽胜行政加版,"('136.80', '368.00')"
150-300万,飞驰欧版,"('278.00', '388.00')"
150-300万,斯宾特,"('142.00', '192.80')"
150-300万,添越美版,"('255.00', '315.00')"
150-300万,迈巴赫GLS,"('158.80', '368.00')"
150-300万,奔驰GL加版,"('121.70', '159.00')"
150-300万,添越欧版,"('278.00', '458.00')"
150-300万,Savana美版,"('123.00', '153.00')"
150-300万,GranCabrio,"('268.80', '302.80')"
150-300万,新凯威霆,"('90.80', '180.00')"
150-300万,中欧斯宾特,暂无报价
150-300万,YUKON美版,"('243.00', '243.00')"
300万以上,揽胜,"('122.50', '321.30')"
300万以上,迈巴赫S级,"('139.88', '319.88')"
300万以上,库里南,"('610.00', '780.00')"
300万以上,飞驰,"('251.80', '390.00')"
300万以上,欧陆,"('275.10', '420.00')"
300万以上,幻影,"('790.00', '920.00')"
300万以上,法拉利488,"('408.00', '449.90')"
300万以上,法拉利F8,"('298.80', '341.80')"
300万以上,古思特,"('450.00', '786.00')"
300万以上,阿斯顿·马丁DBX,"('212.80', '319.80')"
300万以上,Huracan,"('254.00', '390.00')"
300万以上,凯迪拉克总统一号,"('168.00', '358.00')"
300万以上,奔驰S级AMG,"('227.88', '307.88')"
300万以上,阿斯顿·马丁DBS,"('366.80', '500.70')"
300万以上,迈凯伦720S,"('339.80', '378.80')"
300万以上,法拉利812,"('485.90', '530.00')"
300万以上,Aventador,"('613.70', '920.47')"
300万以上,魅影,"('505.00', '875.00')"
300万以上,奔驰G级欧版,"('148.00', '388.00')"
300万以上,欧陆欧版,"('285.00', '530.00')"
300万以上,曜影,"('520.00', '620.00')"
300万以上,迈巴赫S级欧版,"('360.00', '2000.00')"
300万以上,Chiron,"('5788.00', '5788.00')"
300万以上,SF90 Strad,"('398.80', '398.80')"
300万以上,奔驰G级美版,"('208.00', '378.00')"
300万以上,迈凯伦600LT,"('292.30', '319.50')"
300万以上,路虎皇家一号,"('248.00', '328.00')"
300万以上,迈巴赫S级美版,"('288.00', '400.00')"
300万以上,迈巴赫S级墨版,"('428.00', '428.00')"
300万以上,迈巴赫S级欧版,"('360.00', '1688.00')"
300万以上,保时捷918欧版,"('2438.00', '2438.00')"
300万以上,奔驰G级中东版,"('172.00', '345.00')"
300万以上,保时捷911美版,"('360.00', '460.00')"
300万以上,迈巴赫S级加版,"('298.00', '398.00')"
300万以上,揽胜行政加版,"('136.80', '368.00')"
300万以上,Huayra,"('2900.00', '2900.00')"
300万以上,飞驰欧版,"('278.00', '388.00')"
300万以上,添越美版,"('255.00', '315.00')"
300万以上,迈巴赫GLS,"('158.80', '368.00')"
300万以上,乔治·巴顿美版,"('358.80', '358.80')"
300万以上,添越欧版,"('278.00', '458.00')"
300万以上,科尼赛克欧规版,"('2635.00', '2635.00')"
300万以上,GranCabrio,"('268.80', '302.80')"
300万以上,迈凯伦540C欧规版,"('330.00', '330.00')"
300万以上,迈凯伦570GT欧规,"('310.00', '310.00')"
300万以上,迈莎锐G级,"('385.00', '518.00')"
